cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,instruction_keyboard_response.started,static_isi.started,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_stimulus.started,dots_keyboard_response.started,dots_keyboard_response.keys,dots_keyboard_response.rt,feedback_text.started,feedback_text.stopped,instruction_main_text.started,instruction_main_keyboard_response.started,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,dots_background.stopped,dots_stimulus.stopped,dots_keyboard_response.stopped,debriefing_keyboard_response.started,Pseudonym,date,expName,psychopyVersion,frameRate,
none,right,,,,,0,38,38,76,,-0.007199209000191331,229.23051237499976,229.57486483399998,229.57486483399998,230.0747229169997,230.56458966699984,231.55903620899971,231.55903620899971,231.55903620899971,231.55903620899971,f,1.5313639169999078,233.10460154199973,233.5986667090001,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,right,,,,,0,39,39,72,,-0.001596790999883524,234.09651970899995,234.19024579200004,234.19024579200004,234.6958992089999,235.1880125419998,236.18202833399982,236.18202833399982,236.18202833399982,236.18202833399982,j,0.8975437080002848,237.09074166699975,,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,left,,,,,0,40,40,45,,0.002586750000318716,238.08970675,238.1901738749998,238.1901738749998,238.6886183749998,239.18307233399992,240.37882624999975,240.37882624999975,240.37882624999975,240.37882624999975,j,1.0955412080002134,241.48954283400008,241.97790808399986,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
left,left,,,,,0,41,41,3,,-0.005674250000083703,242.47890066699983,243.28616824999972,243.28616824999972,243.7796423750001,244.27040533399986,245.47302720900007,245.47302720900007,245.47302720900007,245.47302720900007,f,0.9974995830002626,246.48816229199974,246.98504383399995,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
right,right,,,,,0,42,42,27,,0.0004299580000406422,247.48376137500009,247.57925099999966,247.57925099999966,248.079966667,248.56387049999967,249.76087091699992,249.76087091699992,249.76087091699992,249.76087091699992,j,0.6968928750002306,250.46946045899995,250.96069116699982,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
right,right,,,,,0,43,43,19,,-0.006181207999816252,251.46532966699988,251.56097279200003,251.56097279200003,252.060657,252.54703900000004,253.73785116699992,253.73785116699992,253.73785116699992,253.73785116699992,j,0.8972042499999588,254.6442206249999,255.138411292,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
right,left,,,,,0,44,44,37,,-0.007399916999929701,255.63385749999998,255.98307266699976,255.98307266699976,256.47625145899974,256.9689572499997,257.9623261249999,257.9623261249999,257.9623261249999,257.9623261249999,f,0.9581794579999041,258.93539599999986,259.4271625839997,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,right,,,,,0,45,45,66,,-0.005253208000340237,259.92665725000006,260.02176704199974,260.02176704199974,260.5257220839999,261.00525683399974,262.199171834,262.199171834,262.199171834,262.199171834,j,1.1212524170000506,263.3358284589999,263.8294411669999,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
left,right,,,,,0,46,46,32,,-0.008571500000016385,264.3256388340001,265.12517341700004,265.12517341700004,265.61892991700006,266.105816667,267.10549324999965,267.10549324999965,267.10549324999965,267.10549324999965,j,0.9186076249998223,268.04006608400005,268.5372109589998,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
left,left,,,,,0,47,47,1,,-0.002266708000206563,269.0341237089997,269.38108433399975,269.38108433399975,269.8803795419999,270.3624030000001,271.3525287499997,271.3525287499997,271.3525287499997,271.3525287499997,j,1.0146058330001324,272.3798160419997,272.8683649169998,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
right,right,,,,,0,48,48,30,,-0.006054333000065526,273.37310620900007,274.173137667,274.173137667,274.67227966699966,275.16376274999993,276.1551146669999,276.1551146669999,276.1551146669999,276.1551146669999,j,0.951275583000097,277.1219648749998,277.61844699999983,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
left,left,,,,,0,49,49,9,,-0.0001674169998295838,278.11712204199966,278.21000649999996,278.21000649999996,278.71371366699987,279.1936099169998,280.3890047089999,280.3890047089999,280.3890047089999,280.3890047089999,j,0.9116975420001836,281.31382216699967,281.8122063339997,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
