hit,miss,fa,cr
8,7,4,11
9,6,4,11
14,1,0,15
14,1,1,14
13,2,2,13
8,7,0,15
13,2,3,12
12,3,1,14
11,4,3,12
4,11,0,15
8,7,0,15
13,2,1,14
15,0,0,15
12,3,0,15
11,4,0,15
9,6,0,15
5,10,1,14
5,10,0,15
6,9,3,12
15,0,0,15
11,4,0,15
14,1,1,14
12,3,2,13
12,3,1,14
11,4,2,13
1,14,0,15
14,1,0,15
13,2,0,15
7,8,2,13
11,4,1,14
12,3,2,13
8,7,0,15
11,4,2,13
